product,day,pitchrate,cellcount,viability,plato,pH,temp,alcohol,date
V0,0,,8400000,,23.48496271,,,0,
V0,1,,6450000,0.79,23.3761805,6.11,,0.0076,
V0,2,,10900000,0.93,16.13360598,4.67,,0.035,
V0,3,,15500000,0.93,11.0976973,4.11,,0.072,
V0,4,,12100000,0.91,6.706369445,4.03,,0.0975,
V0,7,,16300000,0.94,-2.105710551,4.07,,0.148,
V0,8,,26200000,0.97,-3.075556842,4.13,,0.1517,
V0,9,,12500000,0.91,-3.499326571,4.21,,0.1553,
V0,0,,8400000,,23.48496271,,,0,
V0,1,,4660000,0.7659,23.33263886,6.06,,0.0075,
V0,2,,7840000,0.9062,15.86313864,4.62,,0.0335,
V0,3,,207000,0.9952,11.60019797,4.03,,0.0684,
V0,4,,13600000,0.9138,7.571252446,3.95,,0.0935,
V0,7,,11500000,0.9269,-1.477023614,3.97,,0.1438,
V0,8,,23700000,0.9699,-2.655473886,4.03,,0.1465,
V0,9,,15600000,0.9157,-3.420282566,4.12,,0.1544,
V0,0,,8400000,,23.48496271,,,0,
V0,1,,6680000,0.8129,23.33263886,6.07,,0.0082,
V0,2,,10400000,0.8791,9.259128416,4.69,,0.0373,
V0,3,,17100000,0.9456,10.37428788,4.15,,0.0767,
V0,4,,15900000,0.9487,5.888616818,4.11,,0.1031,
V0,7,,12100000,0.9546,-2.603037441,4.15,,0.1508,
V0,8,,28500000,0.9769,-3.262305444,4.21,,0.1506,
V0,9,,15900000,0.9411,-3.446626461,4.29,,0.1549,
V0,0,,8400000,,23.48496271,,,0,
V0,1,,5900000,0.808,23.22371291,6.03,,0.0083,
V0,2,,8190000,0.9235,17.97927268,4.61,,0.0354,
V0,3,,19700000,0.9284,11.4089827,4.07,,0.0696,
V0,4,,12400000,0.9254,7.546681928,4,,0.0943,
V0,7,,13100000,0.9436,-1.424957615,4.01,,0.1443,
V0,8,,16700000,0.9533,-2.603037441,4.06,,0.1483,
V0,9,,11300000,0.9198,-3.393942778,4.17,,0.1544,
V0,0,,8400000,,23.48496271,,,0,
V0,1,,6200000,0.8046,23.26729561,6.04,,0.0081,
V0,2,,9540000,0.9287,10.61503598,4.56,,0.0358,
V0,3,,13900000,0.9288,11.19355135,4.01,,0.0693,
